"Life expectancy at birth, total (years)","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Cause of death, by non-communicable diseases (% of total)","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)","Prevalence of HIV, total (% of population ages 15-49)",People practicing open defecation (% of population),People using safely managed drinking water services (% of population),People using safely managed sanitation services (% of population),Domestic general government health expenditure (% of GDP),Domestic general government health expenditure per capita (current US$)
1.585000000000008,0.67835,9.798547141835698,-7.299999999999999,0.0,-0.888852767784531,21.536216851530604,26.0140902899696,0.2302718099999996,127.82664103
3.975000000000009,0.30948,11.069408391559392,-3.700000000000001,0.0,-6.23394901362592,2.1696299955732883,3.541236089863098,1.2357599700000002,80.96426154
1.5490000000000066,1.2709399999999995,-0.459372685109102,-6.800000000000001,0.1999999999999999,-0.0650238672095157,0.3350994359258976,-3.9971343774689,1.41,100.0
1.9769999999999897,0.3978399999999999,14.193520860191596,-5.300000000000001,0.0,-0.0834486314880472,12.924755182545006,28.6328158600962,1.46,91.0
6.189000000000007,0.0014099999999999,27.143213680860605,-4.300000000000001,0.0,-16.8523575803875,3.337296943457602,17.981996927348,-0.0986444,6.715627829999999
3.54502439024391,-1.73156,5.322744567252499,-9.400000000000002,0.3,0.0,11.124403434137406,-9.532705664144402,0.3899999999999997,245.0
2.9731707317073277,-1.1382600000000007,-0.0151382062229998,-4.800000000000001,0.1,0.0,0.0914649081148013,25.40088264444391,2.7614617300000006,2597.4855906000003
9.598999999999997,-2.95789,25.614754770347503,-4.600000000000001,0.1,-9.89707364467543,46.844351195616994,12.593683813316702,-0.1393480299999998,79.52725502
4.272000000000006,-1.03986,5.5979315541589045,-6.100000000000001,0.3,-8.60589759228266,9.889517469268611,12.9642757036112,1.0588991699999997,184.25159947
1.9951219512195169,0.5497300000000003,2.464187380088802,-4.300000000000001,0.0,0.0,6.3033443100732,16.510689487135195,1.6,457.0
2.493658536585372,0.5203300000000013,0.0388183285524945,-4.800000000000001,0.0,0.0,0.8722068238148069,6.601842133577705,3.5975256,2719.12868554
9.198,-0.3698800000000002,5.228414566862501,-5.700000000000003,-4.1,2.4826430471336,-2.347546539793149,-6.072052770251901,-0.4986095400000001,1.4837554500000003
