"Life expectancy at birth, total (years)","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Cause of death, by non-communicable diseases (% of total)","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)","Prevalence of HIV, total (% of population ages 15-49)",People practicing open defecation (% of population),People using safely managed drinking water services (% of population),People using safely managed sanitation services (% of population),Domestic general government health expenditure (% of GDP),Domestic general government health expenditure per capita (current US$)
-0.9251966668467403,0.4373754007556858,0.08086791486382873,-0.669082476108683,0.29832275269765884,0.5122931841928389,1.1685179552120037,1.0964867246762053,-0.7295112386003093,-0.5447790200421128
-0.2978289403554372,0.25202492732243187,0.23510496768838487,0.22165290040580385,0.29832275269765884,0.06570932576758833,-0.6590677558317065,-0.4680283792907833,0.062180369324782075,-0.5938538039855987
-0.9346465572876138,0.7351411096824402,-1.1640762696901752,-0.5453692293705602,0.4667873659857485,0.5811242533035709,-0.8321887018311951,-0.992834634447447,0.19937181026190448,-0.5739193755102254
-0.8222978598239038,0.29642422201314217,0.6142603632589418,-0.17422948915619044,0.29832275269765884,0.5795848605698134,0.3558716993438713,1.2787971544563357,0.23874032992329422,-0.5833442715632656
0.2833393217582628,0.09722534928523029,2.1858894109441644,0.07319700432005605,0.29832275269765884,-0.8214608298249358,-0.5488773828411786,0.5373084703076552,-0.9884901242070046,-0.6716077656297108
-0.41069622936773664,-0.7735605914137316,-0.4623342626188533,-1.1886781124088013,0.5510196726297935,0.5865570103901714,0.18597613877274416,-1.3782100215688904,-0.6037459908304454,-0.42207382798902177
-0.5608060744061589,-0.4754381203861353,-1.1101621096657497,-0.050516242418067195,0.38255505934170375,0.5865570103901714,-0.8551800004557886,1.0537964364399903,1.2634727640443197,2.0414741895309727
1.178453944074303,-1.3897691366611147,2.000389225324194,-0.0010309437228180746,0.38255505934170375,-0.2403454684560752,3.556795509973758,0.16218490225792287,-1.0205389573659032,-0.5953586525498812
-0.21986734421823442,-0.4259939081004186,-0.42893641541457217,-0.37217068393718783,0.5510196726297935,-0.13246745151064243,0.06944244282784375,0.1879847674913596,-0.07707458831780052,-0.48569020136498886
-0.8175409027794766,0.3727461875017344,-0.8092607551643137,0.07319700432005605,0.29832275269765884,0.5865570103901714,-0.26897747968204033,0.4348789928458635,0.34897218497518545,-0.2000651654062964
-0.6866765663218557,0.35797322163588063,-1.1036137182452013,-0.050516242418067195,0.29832275269765884,0.5865570103901714,-0.7815029617623491,-0.25495511587498365,1.9217647021297704,2.168860136795373
1.0731926644412444,-0.08934113018187974,-0.47378254720244245,-0.27320008654668954,-3.15520181970818,0.7939823326084842,-1.0853445877639254,-1.1372862976007874,-1.3034108337662142,-0.6770866382235189
0.05890442378752376,0.7092029975057262,-0.20415746576165547,0.6670205886630473,-0.37553570045469997,-0.08846028317064274,-0.8036980916864771,-0.5626157093985251,-1.814754693676492,-0.6765075369524967
-0.683174472777715,0.19463647727007793,-0.37371601814839,0.07319700432005605,0.6352519792738383,0.394419556737751,-0.23358950217913982,1.28444043496936,1.4273998863479507,-0.05748006848793692
-0.4359023395748612,-0.11641485129930221,1.0280663972105482,-0.198972138503815,0.4667873659857486,0.123858074345427,-0.40483257316227866,-0.515786099335226,0.6733741096088945,-0.43838367611183543
0.7476964381445009,-3.0060119994787198,0.2074984576590516,0.14742495236293016,-0.6282326203868346,0.7175885028619774,-0.9606952373451837,-1.3365789272228321,-0.4474965644734012,-0.6758744271838274
-0.897371989437504,-0.4857088490357287,-0.734955673557816,0.29588084844867796,0.6352519792738383,0.5353243195014444,-0.47597677310484876,-0.7092197464183267,0.15763507730028414,-0.13036410627171505
