,Income Level_High income,Income Level_Low income,Income Level_Lower middle income,Income Level_Upper middle income,Change in Alcohol Consumption_Heightened Alcohol Consumption,Change in Alcohol Consumption_Lowered Alcohol Consumption,Change in Alcohol Consumption_Same Alcohol Consumption,Change in Death by non-communicable disease_Heightened death by non-communicable disease,Change in Death by non-communicable disease_Lowered death by non-communicable disease,Change in Death by non-communicable disease_Same death by non-communicable disease,Change in Mortality by CVD/Cancer/Diabetes/CRD_Heightened death by CVD/Cancer/Diabetes/CRD,Change in Mortality by CVD/Cancer/Diabetes/CRD_Lowered death by CVD/Cancer/Diabetes/CRD,Change in Mortality by CVD/Cancer/Diabetes/CRD_Same death by CVD/Cancer/Diabetes/CRD,Change in Prevalence of HIV_Heightened Prevalence of HIV,Change in Prevalence of HIV_Lowered Prevalence of HIV,Change in Prevalence of HIV_Same Prevalence of HIV,Change in Open Defecation_Lowered Open defecation,Change in Open Defecation_Same Open Defecation,Change in Access to Safe Drinking Water_Heightened Access to Safe Water,Change in Access to Safe Drinking Water_Lowered Access to Safe Water,Change in Access to Safe Drinking Water_Same Access to Safe Water,Change in Access to Safe Sanitation_Heightened Access to Sanitation,Change in Access to Safe Sanitation_Lowered Access to Sanitation,Change in Access to Safe Sanitation_Same Access to Sanitation,Change in Government Health Expenditure_Heightened Gov Expenditure %,Change in Government Health Expenditure_Lowered Gov Expenditure %,Change in Government Health Expenditure_Same Gov Expenditure %,Change in Government Health Expenditure Per Capita_Heightened Gov Expenditure Per Cap,Change in Government Health Expenditure Per Capita_Same Gov Expenditure Per Cap
40,False,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,True
41,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,False,False,True,True,False
42,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,True,True,False
43,False,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True
44,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,True
45,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False
46,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,True,False,False,True,False,False,True,False,False,False,True
47,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,True,False,False,False,True,False,False,True
48,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,True,False,False,True,False,False,True,False,False,False,True
49,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True
50,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,True,False,False,True,False,False,False,True
51,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,True,False
52,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False,True,False
53,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,True
54,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True
55,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,True,False,False,True,False,False,True,False,False,False,True
56,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,True,False,False,True,False,False,False,False,True,False,True
57,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,True,True,False
58,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False
59,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,True
60,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,True
61,False,True,False,False,False,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,True
62,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,True,False,False,False,False,True,True,False,False,True,False
63,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False,True,False
64,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,True,False
65,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True
66,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,True,False
67,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,True
68,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,True
69,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,True
70,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,True
71,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,True,False,False,True,False,False,False,False,True,False,True
